datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/12/6,1520.0,0.0,0.0,1920.0,0,0
2013/12/9,1520.0,0.0,0.0,1920.0,0,0
2013/12/10,1520.0,0.0,0.0,1920.0,0,0
2013/12/11,1500.0,1.0,0.0,1920.0,"{'Vol': 1, 'Openpos': 1500.0, 'Type': 1, 'Time': '2013/12/11'}","{'Vol': 1, 'Closepos': 1500.0, 'Type': -1, 'Time': '2013/12/11'}"
2013/12/12,1500.0,0.0,0.0,1920.0,0,0
2013/12/13,1500.0,0.0,0.0,1920.0,0,0
2013/12/16,1486.0,1.0,21.0,1941.0,"{'Vol': 1, 'Openpos': 1465.0, 'Type': 1, 'Time': '2013/12/16'}","{'Vol': 1, 'Closepos': 1486.0, 'Type': -1, 'Time': '2013/12/16'}"
2013/12/17,1484.0,0.0,0.0,1941.0,0,0
2013/12/18,1490.0,0.0,0.0,1941.0,0,0
2013/12/19,1487.0,0.0,0.0,1941.0,0,0
2013/12/20,1472.0,0.0,0.0,1941.0,0,0
2013/12/23,1475.0,0.0,0.0,1941.0,0,0
2013/12/24,1479.0,0.0,0.0,1941.0,0,0
2013/12/25,1469.0,0.0,0.0,1941.0,0,0
2013/12/26,1457.0,0.0,0.0,1941.0,0,0
2013/12/27,1453.0,0.0,0.0,1941.0,0,0
2013/12/30,1427.0,0.0,0.0,1941.0,0,0
2013/12/31,1379.0,0.0,0.0,1941.0,0,0
2014/1/2,1379.0,1.0,4.0,1945.0,"{'Vol': 1, 'Openpos': 1375.0, 'Type': 1, 'Time': '2014/1/2'}","{'Vol': 1, 'Closepos': 1379.0, 'Type': -1, 'Time': '2014/1/2'}"
2014/1/3,1352.0,0.0,0.0,1945.0,0,0
2014/1/6,1332.0,1.0,0.0,1945.0,"{'Vol': 1, 'Openpos': 1332.0, 'Type': 1, 'Time': '2014/1/6'}","{'Vol': 1, 'Closepos': 1332.0, 'Type': -1, 'Time': '2014/1/6'}"
